Type,sensorID,timeStamp,soundMax
Bioacoustic 1,1,378,29
Bioacoustic 1,1,384,11
Bioacoustic 1,1,390,5
Bioacoustic 1,1,396,20
Bioacoustic 1,1,402,54
Bioacoustic 1,1,408,56
Bioacoustic 1,1,414,36
Bioacoustic 1,1,420,15
Bioacoustic 1,1,426,8
Bioacoustic 1,1,432,26
Bioacoustic 1,1,438,57
Bioacoustic 1,1,444,47
Bioacoustic 1,1,450,21
Bioacoustic 1,1,456,7
Bioacoustic 1,1,462,43
Bioacoustic 1,1,468,20
Bioacoustic 1,1,474,8
Bioacoustic 1,1,480,53
Bioacoustic 1,1,486,39
Bioacoustic 1,1,492,5
Bioacoustic 1,1,498,16
Bioacoustic 1,1,504,39
Bioacoustic 1,1,510,20
Bioacoustic 1,1,516,42
Bioacoustic 1,1,522,8
Bioacoustic 1,1,528,41
Bioacoustic 1,1,534,6
Bioacoustic 1,1,540,27
Bioacoustic 1,1,546,39
Bioacoustic 1,1,552,37
Bioacoustic 1,1,558,8
Bioacoustic 1,1,564,11
Bioacoustic 1,1,570,54
Bioacoustic 1,1,576,51
Bioacoustic 1,1,582,5
Bioacoustic 1,1,588,49
Bioacoustic 1,1,594,22
Bioacoustic 1,1,600,15
Bioacoustic 1,1,606,50
Bioacoustic 1,1,612,23
Bioacoustic 1,1,618,25
Bioacoustic 1,1,624,8
Bioacoustic 1,1,630,59
Bioacoustic 1,1,636,56
Bioacoustic 1,1,642,5
Bioacoustic 1,1,648,12
Bioacoustic 1,1,654,47
Bioacoustic 1,1,660,56
Bioacoustic 1,1,666,57
Bioacoustic 1,1,672,38
Bioacoustic 1,1,678,49
Bioacoustic 1,1,684,30
Bioacoustic 1,1,690,31
Bioacoustic 1,1,696,12
Bioacoustic 1,1,702,19
Bioacoustic 1,1,708,25
Bioacoustic 1,1,714,52
Bioacoustic 1,1,720,37
Bioacoustic 1,1,726,55
Bioacoustic 1,1,732,45
Bioacoustic 1,1,738,57
Bioacoustic 1,1,744,12
Bioacoustic 1,1,750,27
Bioacoustic 1,1,756,39
Bioacoustic 1,1,762,31
Bioacoustic 1,1,768,23
Bioacoustic 1,1,774,39
Bioacoustic 1,1,780,24
Bioacoustic 1,1,786,60
Bioacoustic 1,1,792,37
Bioacoustic 1,1,798,29
Bioacoustic 1,1,804,18
Bioacoustic 1,1,810,51
Bioacoustic 1,1,816,51
Bioacoustic 1,1,822,57
Bioacoustic 1,1,828,9
Bioacoustic 1,1,834,38
Bioacoustic 1,1,840,12
Bioacoustic 1,1,846,53
Bioacoustic 1,1,852,41
Bioacoustic 1,1,858,43
Bioacoustic 1,1,864,30
Bioacoustic 1,1,870,16
Bioacoustic 1,1,876,36
Bioacoustic 1,1,882,9
Bioacoustic 1,1,888,38
Bioacoustic 1,1,894,22
Bioacoustic 1,1,900,34
Bioacoustic 1,1,906,43
Bioacoustic 1,1,912,25
Bioacoustic 1,1,918,33
Bioacoustic 1,1,924,39
Bioacoustic 1,1,930,56
Bioacoustic 1,1,936,57
Bioacoustic 1,1,942,33
Bioacoustic 1,1,948,6
Bioacoustic 1,1,954,10
Bioacoustic 1,1,960,31
Bioacoustic 1,1,966,35
Bioacoustic 1,1,972,37
Bioacoustic 1,1,978,55
Bioacoustic 1,1,984,9
Bioacoustic 1,1,990,10
Bioacoustic 1,1,996,11
Bioacoustic 1,1,1002,49
Bioacoustic 1,1,1008,49
Bioacoustic 1,1,1014,40
Bioacoustic 1,1,1020,43
Bioacoustic 1,1,1026,16
Bioacoustic 1,1,1032,57
Bioacoustic 1,1,1038,19
Bioacoustic 1,1,1044,55
Bioacoustic 1,1,1050,32
Bioacoustic 1,1,1056,19
Bioacoustic 1,1,1062,33
Bioacoustic 1,1,1068,26
Bioacoustic 1,1,1074,5
Bioacoustic 1,1,1080,35
Bioacoustic 1,1,1086,42
Bioacoustic 1,1,1092,11
Bioacoustic 1,1,1098,48
Bioacoustic 1,1,1104,16
Bioacoustic 1,1,1110,55
Bioacoustic 1,1,1116,58
Bioacoustic 1,1,1122,43
Bioacoustic 1,1,1128,35
Bioacoustic 1,1,1134,34
Bioacoustic 1,1,1140,23
Bioacoustic 1,1,1146,56
Bioacoustic 1,1,1152,13
Bioacoustic 1,1,1158,28
Bioacoustic 1,1,1164,14
Bioacoustic 1,1,1170,31
Bioacoustic 1,1,1176,43
Bioacoustic 1,1,1182,43
Bioacoustic 1,1,1188,26
Bioacoustic 1,1,1194,45
Bioacoustic 1,1,1200,49
Bioacoustic 1,1,1206,35
Bioacoustic 1,1,1212,41
Bioacoustic 1,1,1218,5
Bioacoustic 1,1,1224,38
Bioacoustic 1,1,1230,59
Bioacoustic 1,1,1236,21
Bioacoustic 1,1,1242,55
Bioacoustic 1,1,1248,8
Bioacoustic 1,1,1254,26
Bioacoustic 1,1,1260,48
Bioacoustic 1,1,1266,48
Bioacoustic 1,1,1272,39
Bioacoustic 1,1,1278,17
Bioacoustic 1,1,1284,12
Bioacoustic 1,1,1290,40
Bioacoustic 1,1,1296,45
Bioacoustic 1,1,1302,38
Bioacoustic 1,1,1308,49
Bioacoustic 1,1,1314,37
Bioacoustic 1,1,1320,26
Bioacoustic 1,1,1326,52
Bioacoustic 1,1,1332,22
Bioacoustic 1,1,1338,9
Bioacoustic 1,1,1344,52
Bioacoustic 1,1,1350,60
Bioacoustic 1,1,1356,18
Bioacoustic 1,1,1362,44
Bioacoustic 1,1,1368,27
Bioacoustic 1,1,1374,44
Bioacoustic 1,1,1380,53
Bioacoustic 1,1,1386,54
Bioacoustic 1,1,1392,20
Bioacoustic 1,1,1398,58
Bioacoustic 1,1,1404,6
Bioacoustic 1,1,1410,38
Bioacoustic 1,1,1416,59
Bioacoustic 1,1,1422,26
Bioacoustic 1,1,1428,57
Bioacoustic 1,1,1434,8
Bioacoustic 1,1,1440,35
Bioacoustic 1,1,1446,30
Bioacoustic 1,1,1452,26
Bioacoustic 1,1,1458,42
Bioacoustic 1,1,1464,29
Bioacoustic 1,1,1470,30
Bioacoustic 1,1,1476,38
Bioacoustic 1,1,1482,52
Bioacoustic 1,1,1488,35
Bioacoustic 1,1,1494,31
Bioacoustic 1,1,1500,9
Bioacoustic 1,1,1506,44
Bioacoustic 1,1,1512,26
Bioacoustic 1,1,1518,47
Bioacoustic 1,1,1524,34
Bioacoustic 1,1,1530,33
Bioacoustic 1,1,1536,26
Bioacoustic 1,1,1542,28
Bioacoustic 1,1,1548,48
Bioacoustic 1,1,1554,25
Bioacoustic 1,1,1560,12
Bioacoustic 1,1,1566,13
Bioacoustic 1,1,1572,5
Bioacoustic 1,1,1578,20
Bioacoustic 1,1,1584,14
Bioacoustic 1,1,1590,55
Bioacoustic 1,1,1596,49
Bioacoustic 1,1,1602,38
Bioacoustic 1,1,1608,31
Bioacoustic 1,1,1614,22
Bioacoustic 1,1,1620,9
Bioacoustic 1,1,1626,38
Bioacoustic 1,1,1632,53
Bioacoustic 1,1,1638,5
Bioacoustic 1,1,1644,14
Bioacoustic 1,1,1650,49
Bioacoustic 1,1,1656,52
Bioacoustic 1,1,1662,16
Bioacoustic 1,1,1668,56
Bioacoustic 1,1,1674,26
Bioacoustic 1,1,1680,8
Bioacoustic 1,1,1686,26
Bioacoustic 1,1,1692,51
Bioacoustic 1,1,1698,54
Bioacoustic 1,1,1704,11
Bioacoustic 1,1,1710,34
Bioacoustic 1,1,1716,47
Bioacoustic 1,1,1722,14
Bioacoustic 1,1,1728,42
Bioacoustic 1,1,1734,19
Bioacoustic 1,1,1740,36
Bioacoustic 1,1,1746,18
Bioacoustic 1,1,1752,14
Bioacoustic 1,1,1758,47
Bioacoustic 1,1,1764,5
Bioacoustic 1,1,1770,22
Bioacoustic 1,1,1776,23
Bioacoustic 1,1,1782,44
Bioacoustic 1,1,1788,52
Bioacoustic 1,1,1794,22
Bioacoustic 1,1,1800,41
Bioacoustic 1,1,1806,38
Bioacoustic 1,1,1812,16
Bioacoustic 1,1,1818,34
Bioacoustic 1,1,1824,48
Bioacoustic 1,1,1830,38
Bioacoustic 1,1,1836,33
Bioacoustic 1,1,1842,25
Bioacoustic 1,1,1848,20
Bioacoustic 1,1,1854,29
Bioacoustic 1,1,1860,50
Bioacoustic 1,1,1866,17
Bioacoustic 1,1,1872,45
Bioacoustic 1,1,1878,39
Bioacoustic 1,1,1884,48
Bioacoustic 1,1,1890,17
Bioacoustic 1,1,1896,35
Bioacoustic 1,1,1902,35
Bioacoustic 1,1,1908,17
Bioacoustic 1,1,1914,58
Bioacoustic 1,1,1920,6
Bioacoustic 1,1,1926,24
Bioacoustic 1,1,1932,10
Bioacoustic 1,1,1938,58
Bioacoustic 1,1,1944,14
Bioacoustic 1,1,1950,50
Bioacoustic 1,1,1956,54
Bioacoustic 1,1,1962,18
Bioacoustic 1,1,1968,5
Bioacoustic 1,1,1974,5
Bioacoustic 1,1,1980,47
Bioacoustic 1,1,1986,6
Bioacoustic 1,1,1992,43
Bioacoustic 1,1,1998,21
Bioacoustic 1,1,2004,55
Bioacoustic 1,1,2010,37
Bioacoustic 1,1,2016,44
Bioacoustic 1,1,2022,56
Bioacoustic 1,1,2028,58
Bioacoustic 1,1,2034,22
Bioacoustic 1,1,2040,35
Bioacoustic 1,1,2046,25
Bioacoustic 1,1,2052,42
Bioacoustic 1,1,2058,5
Bioacoustic 1,1,2064,36
Bioacoustic 1,1,2070,60
Bioacoustic 1,1,2076,26
Bioacoustic 1,1,2082,43
Bioacoustic 1,1,2088,13
Bioacoustic 1,1,2094,21
Bioacoustic 1,1,2100,51
Bioacoustic 1,1,2106,27
Bioacoustic 1,1,2112,36
Bioacoustic 1,1,2118,36
Bioacoustic 1,1,2124,7
Bioacoustic 1,1,2130,19
Bioacoustic 1,1,2136,28
Bioacoustic 1,1,2142,6
Bioacoustic 1,1,2148,29
Bioacoustic 1,1,2154,15
Bioacoustic 1,1,2160,43
Bioacoustic 1,1,2166,54
Bioacoustic 1,1,2172,56
Bioacoustic 1,1,2178,9
Bioacoustic 1,1,2184,51
Bioacoustic 1,1,2190,17
Bioacoustic 1,1,2196,11
Bioacoustic 1,1,2202,41
Bioacoustic 1,1,2208,56
Bioacoustic 1,1,2214,7
Bioacoustic 1,1,2220,9
Bioacoustic 1,1,2226,60
Bioacoustic 1,1,2232,49
Bioacoustic 1,1,2238,7
Bioacoustic 1,1,2244,50
Bioacoustic 1,1,2250,44
Bioacoustic 1,1,2256,45
Bioacoustic 1,1,2262,16
Bioacoustic 1,1,2268,26
Bioacoustic 1,1,2274,29
Bioacoustic 1,1,2280,54
Bioacoustic 1,1,2286,35
Bioacoustic 1,1,2292,24
Bioacoustic 1,1,2298,18
Bioacoustic 1,1,2304,27
Bioacoustic 1,1,2310,35
Bioacoustic 1,1,2316,28
Bioacoustic 1,1,2322,15
Bioacoustic 1,1,2328,19
Bioacoustic 1,1,2334,50
Bioacoustic 1,1,2340,6
Bioacoustic 1,1,2346,19
Bioacoustic 1,1,2352,44
Bioacoustic 1,1,2358,26
Bioacoustic 1,1,2364,42
Bioacoustic 1,1,2370,21
Bioacoustic 1,1,2376,29
Bioacoustic 1,1,2382,38
Bioacoustic 1,1,2388,49
Bioacoustic 1,1,2394,27
Bioacoustic 1,1,2400,21
Bioacoustic 1,1,2406,18
Bioacoustic 1,1,2412,30
Bioacoustic 1,1,2418,49
Bioacoustic 1,1,2424,9
Bioacoustic 1,1,2430,22
Bioacoustic 1,1,2436,48
Bioacoustic 1,1,2442,23
Bioacoustic 1,1,2448,55
Bioacoustic 1,1,2454,31
Bioacoustic 1,1,2460,15
Bioacoustic 1,1,2466,8
Bioacoustic 1,1,2472,57
Bioacoustic 1,1,2478,48
Bioacoustic 1,1,2484,11
Bioacoustic 1,1,2490,24
Bioacoustic 1,1,2496,8
Bioacoustic 1,1,2502,41
Bioacoustic 1,1,2508,11
Bioacoustic 1,1,2514,21
Bioacoustic 1,1,2520,48
Bioacoustic 1,1,2526,52
Bioacoustic 1,1,2532,23
Bioacoustic 1,1,2538,18
Bioacoustic 1,1,2544,57
Bioacoustic 1,1,2550,43
Bioacoustic 1,1,2556,49
Bioacoustic 1,1,2562,8
Bioacoustic 1,1,2568,21
Bioacoustic 1,1,2574,50
Bioacoustic 1,1,2580,59
Bioacoustic 1,1,2586,56
Bioacoustic 1,1,2592,53
Bioacoustic 1,1,2598,46
Bioacoustic 1,1,2604,13
Bioacoustic 1,1,2610,29
Bioacoustic 1,1,2616,10
Bioacoustic 1,1,2622,39
Bioacoustic 1,1,2628,56
Bioacoustic 1,1,2634,29
Bioacoustic 1,1,2640,40
Bioacoustic 1,1,2646,36
Bioacoustic 1,1,2652,50
Bioacoustic 1,1,2658,57
Bioacoustic 1,1,2664,17
Bioacoustic 1,1,2670,13
Bioacoustic 1,1,2676,54
Bioacoustic 1,1,2682,26
Bioacoustic 1,1,2688,7
Bioacoustic 1,1,2694,54
Bioacoustic 1,1,2700,18
Bioacoustic 1,1,2706,28
Bioacoustic 1,1,2712,24
Bioacoustic 1,1,2718,15
Bioacoustic 1,1,2724,31
Bioacoustic 1,1,2730,21
Bioacoustic 1,1,2736,13
Bioacoustic 1,1,2742,23
Bioacoustic 1,1,2748,56
Bioacoustic 1,1,2754,42
Bioacoustic 1,1,2760,49
Bioacoustic 1,1,2766,14
Bioacoustic 1,1,2772,33
Bioacoustic 1,1,2778,20
Bioacoustic 1,1,2784,56
Bioacoustic 1,1,2790,15
Bioacoustic 1,1,2796,45
Bioacoustic 1,1,2802,54
Bioacoustic 1,1,2808,14
Bioacoustic 1,1,2814,60
Bioacoustic 1,1,2820,53
Bioacoustic 1,1,2826,39
Bioacoustic 1,1,2832,49
Bioacoustic 1,1,2838,48
Bioacoustic 1,1,2844,40
Bioacoustic 1,1,2850,50
Bioacoustic 1,1,2856,13
Bioacoustic 1,1,2862,35
Bioacoustic 1,1,2868,16
Bioacoustic 1,1,2874,8
Bioacoustic 1,1,2880,7
Bioacoustic 1,1,2886,56
Bioacoustic 1,1,2892,56
Bioacoustic 1,1,2898,9
Bioacoustic 1,1,2904,44
Bioacoustic 1,1,2910,15
Bioacoustic 1,1,2916,53
Bioacoustic 1,1,2922,32
Bioacoustic 1,1,2928,6
Bioacoustic 1,1,2934,29
Bioacoustic 1,1,2940,7
Bioacoustic 1,1,2946,11
Bioacoustic 1,1,2952,51
Bioacoustic 1,1,2958,54
Bioacoustic 1,1,2964,15
Bioacoustic 1,1,2970,18
Bioacoustic 1,1,2976,30
Bioacoustic 1,1,2982,25
Bioacoustic 1,1,2988,60
Bioacoustic 1,1,2994,23
Bioacoustic 1,1,3000,42
Bioacoustic 1,1,3006,29
Bioacoustic 1,1,3012,30
Bioacoustic 1,1,3018,33
Bioacoustic 1,1,3024,29
Bioacoustic 1,1,3030,48
Bioacoustic 1,1,3036,13
Bioacoustic 1,1,3042,51
Bioacoustic 1,1,3048,57
Bioacoustic 1,1,3054,6
Bioacoustic 1,1,3060,13
Bioacoustic 1,1,3066,19
Bioacoustic 1,1,3072,37
Bioacoustic 1,1,3078,17
Bioacoustic 1,1,3084,16
Bioacoustic 1,1,3090,41
Bioacoustic 1,1,3096,17
Bioacoustic 1,1,3102,23
Bioacoustic 1,1,3108,28
Bioacoustic 1,1,3114,19
Bioacoustic 1,1,3120,11
Bioacoustic 1,1,3126,6
Bioacoustic 1,1,3132,7
Bioacoustic 1,1,3138,15
Bioacoustic 1,1,3144,45
Bioacoustic 1,1,3150,30
Bioacoustic 1,1,3156,14
Bioacoustic 1,1,3162,44
Bioacoustic 1,1,3168,55
Bioacoustic 1,1,3174,49
Bioacoustic 1,1,3180,35
Bioacoustic 1,1,3186,11
Bioacoustic 1,1,3192,42
Bioacoustic 1,1,3198,34
Bioacoustic 1,1,3204,39
Bioacoustic 1,1,3210,6
Bioacoustic 1,1,3216,9
Bioacoustic 1,1,3222,31
Bioacoustic 1,1,3228,25
Bioacoustic 1,1,3234,33
Bioacoustic 1,1,3240,13
Bioacoustic 1,1,3246,47
Bioacoustic 1,1,3252,17
Bioacoustic 1,1,3258,29
Bioacoustic 1,1,3264,26
Bioacoustic 1,1,3270,27
Bioacoustic 1,1,3276,23
Bioacoustic 1,1,3282,51
Bioacoustic 1,1,3288,12
Bioacoustic 1,1,3294,15
Bioacoustic 1,1,3300,6
Bioacoustic 1,1,3306,42
Bioacoustic 1,1,3312,50
Bioacoustic 1,1,3318,38
Bioacoustic 1,1,3324,59
Bioacoustic 1,1,3330,33
Bioacoustic 1,1,3336,59
Bioacoustic 1,1,3342,20
Bioacoustic 1,1,3348,46
Bioacoustic 1,1,3354,18
Bioacoustic 1,1,3360,23
Bioacoustic 1,1,3366,21
Bioacoustic 1,1,3372,36
Bioacoustic 1,1,3378,17
Bioacoustic 1,1,3384,42
Bioacoustic 1,1,3390,29
Bioacoustic 1,1,3396,5
Bioacoustic 1,1,3402,6
Bioacoustic 1,1,3408,42
Bioacoustic 1,1,3414,47
Bioacoustic 1,1,3420,40
Bioacoustic 1,1,3426,59
Bioacoustic 1,1,3432,23
Bioacoustic 1,1,3438,23
Bioacoustic 1,1,3444,9
Bioacoustic 1,1,3450,45
Bioacoustic 1,1,3456,47
Bioacoustic 1,1,3462,9
Bioacoustic 1,1,3468,45
Bioacoustic 1,1,3474,28
Bioacoustic 1,1,3480,44
Bioacoustic 1,1,3486,13
Bioacoustic 1,1,3492,37
Bioacoustic 1,1,3498,36
Bioacoustic 1,1,3504,8
Bioacoustic 1,1,3510,60
Bioacoustic 1,1,3516,16
Bioacoustic 1,1,3522,38
Bioacoustic 1,1,3528,22
Bioacoustic 1,1,3534,50
Bioacoustic 1,1,3540,28
Bioacoustic 1,1,3546,41
Bioacoustic 1,1,3552,39
Bioacoustic 1,1,3558,11
Bioacoustic 1,1,3564,51
Bioacoustic 1,1,3570,46
Bioacoustic 1,1,3576,42
Bioacoustic 1,1,3582,47
Bioacoustic 1,1,3588,48
Bioacoustic 1,1,3594,53
Bioacoustic 1,1,3600,8
Bioacoustic 1,1,3606,23
Bioacoustic 1,1,3612,59
Bioacoustic 1,1,3618,10
Bioacoustic 1,1,3624,32
Bioacoustic 1,1,3630,20
Bioacoustic 1,1,3636,60
Bioacoustic 1,1,3642,51
Bioacoustic 1,1,3648,31
Bioacoustic 1,1,3654,8
Bioacoustic 1,1,3660,20
Bioacoustic 1,1,3666,48
Bioacoustic 1,1,3672,12
Bioacoustic 1,1,3678,49
Bioacoustic 1,1,3684,54
Bioacoustic 1,1,3690,22
Bioacoustic 1,1,3696,23
Bioacoustic 1,1,3702,38
Bioacoustic 1,1,3708,10
Bioacoustic 1,1,3714,9
Bioacoustic 1,1,3720,35
Bioacoustic 1,1,3726,13
Bioacoustic 1,1,3732,60
Bioacoustic 1,1,3738,15
Bioacoustic 1,1,3744,9
Bioacoustic 1,1,3750,23
Bioacoustic 1,1,3756,53
Bioacoustic 1,1,3762,54
Bioacoustic 1,1,3768,41
Bioacoustic 1,1,3774,14
Bioacoustic 1,1,3780,51
Bioacoustic 1,1,3786,58
Bioacoustic 1,1,3792,44
Bioacoustic 1,1,3798,8
Bioacoustic 1,1,3804,16
Bioacoustic 1,1,3810,21
Bioacoustic 1,1,3816,10
Bioacoustic 1,1,3822,60
Bioacoustic 1,1,3828,60
Bioacoustic 1,1,3834,8
Bioacoustic 1,1,3840,22
Bioacoustic 1,1,3846,50
Bioacoustic 1,1,3852,55
Bioacoustic 1,1,3858,32
Bioacoustic 1,1,3864,22
Bioacoustic 1,1,3870,19
Bioacoustic 1,1,3876,6
Bioacoustic 1,1,3882,51
Bioacoustic 1,1,3888,6
Bioacoustic 1,1,3894,32
Bioacoustic 1,1,3900,44
Bioacoustic 1,1,3906,37
Bioacoustic 1,1,3912,50
Bioacoustic 1,1,3918,18
Bioacoustic 1,1,3924,23
Bioacoustic 1,1,3930,6
Bioacoustic 1,1,3936,14
Bioacoustic 1,1,3942,34
Bioacoustic 1,1,3948,42
Bioacoustic 1,1,3954,31
Bioacoustic 1,1,3960,17
Bioacoustic 1,1,3966,27
Bioacoustic 1,1,3972,31
Bioacoustic 1,1,3978,20
Bioacoustic 1,1,3984,56
Bioacoustic 1,1,3990,52
Bioacoustic 1,1,3996,12
Bioacoustic 1,1,4002,29
Bioacoustic 1,1,4008,12
Bioacoustic 1,1,4014,12
Bioacoustic 1,1,4020,37
Bioacoustic 1,1,4026,25
Bioacoustic 1,1,4032,31
Bioacoustic 1,1,4038,12
Bioacoustic 1,1,4044,45
Bioacoustic 1,1,4050,38
Bioacoustic 1,1,4056,13
Bioacoustic 1,1,4062,42
Bioacoustic 1,1,4068,22
Bioacoustic 1,1,4074,53
Bioacoustic 1,1,4080,52
Bioacoustic 1,1,4086,34
Bioacoustic 1,1,4092,54
Bioacoustic 1,1,4098,48
Bioacoustic 1,1,4104,46
Bioacoustic 1,1,4110,34
Bioacoustic 1,1,4116,28
Bioacoustic 1,1,4122,49
Bioacoustic 1,1,4128,54
Bioacoustic 1,1,4134,40
Bioacoustic 1,1,4140,37
Bioacoustic 1,1,4146,14
Bioacoustic 1,1,4152,29
Bioacoustic 1,1,4158,17
Bioacoustic 1,1,4164,31
Bioacoustic 1,1,4170,13
Bioacoustic 1,1,4176,29
Bioacoustic 1,1,4182,23
Bioacoustic 1,1,4188,21
Bioacoustic 1,1,4194,49
Bioacoustic 1,1,4200,12
Bioacoustic 1,1,4206,55
Bioacoustic 1,1,4212,50
Bioacoustic 1,1,4218,21
Bioacoustic 1,1,4224,57
Bioacoustic 1,1,4230,45
Bioacoustic 1,1,4236,26
Bioacoustic 1,1,4242,16
Bioacoustic 1,1,4248,13
Bioacoustic 1,1,4254,19
Bioacoustic 1,1,4260,12
Bioacoustic 1,1,4266,56
Bioacoustic 1,1,4272,16
Bioacoustic 1,1,4278,22
Bioacoustic 1,1,4284,49
Bioacoustic 1,1,4290,9
Bioacoustic 1,1,4296,17
Bioacoustic 1,1,4302,46
Bioacoustic 1,1,4308,34
Bioacoustic 1,1,4314,59
Bioacoustic 1,1,4320,16
Bioacoustic 1,1,4326,22
Bioacoustic 1,1,4332,52
Bioacoustic 1,1,4338,42
Bioacoustic 1,1,4344,32
Bioacoustic 1,1,4350,16
Bioacoustic 1,1,4356,58
Bioacoustic 1,1,4362,5
Bioacoustic 1,1,4368,44
Bioacoustic 1,1,4374,32
Bioacoustic 1,1,4380,14
Bioacoustic 1,1,4386,18
Bioacoustic 1,1,4392,11
Bioacoustic 1,1,4398,27
Bioacoustic 1,1,4404,35
Bioacoustic 1,1,4410,49
Bioacoustic 1,1,4416,34
Bioacoustic 1,1,4422,28
Bioacoustic 1,1,4428,32
Bioacoustic 1,1,4434,48
Bioacoustic 1,1,4440,30
Bioacoustic 1,1,4446,25
Bioacoustic 1,1,4452,60
Bioacoustic 1,1,4458,15
Bioacoustic 1,1,4464,35
Bioacoustic 1,1,4470,27
Bioacoustic 1,1,4476,30
Bioacoustic 1,1,4482,52
Bioacoustic 1,1,4488,56
Bioacoustic 1,1,4494,8
Bioacoustic 1,1,4500,45
Bioacoustic 1,1,4506,13
Bioacoustic 1,1,4512,37
Bioacoustic 1,1,4518,16
Bioacoustic 1,1,4524,50
Bioacoustic 1,1,4530,48
Bioacoustic 1,1,4536,42
Bioacoustic 1,1,4542,52
Bioacoustic 1,1,4548,13
Bioacoustic 1,1,4554,40
Bioacoustic 1,1,4560,33
Bioacoustic 1,1,4566,54
Bioacoustic 1,1,4572,35
Bioacoustic 1,1,4578,41
Bioacoustic 1,1,4584,27
Bioacoustic 1,1,4590,57
Bioacoustic 1,1,4596,36
Bioacoustic 1,1,4602,45
Bioacoustic 1,1,4608,60
Bioacoustic 1,1,4614,32
Bioacoustic 1,1,4620,28
Bioacoustic 1,1,4626,30
Bioacoustic 1,1,4632,53
Bioacoustic 1,1,4638,23
Bioacoustic 1,1,4644,40
Bioacoustic 1,1,4650,31
Bioacoustic 1,1,4656,44
Bioacoustic 1,1,4662,46
Bioacoustic 1,1,4668,21
Bioacoustic 1,1,4674,20
Bioacoustic 1,1,4680,30
Bioacoustic 1,1,4686,55
Bioacoustic 1,1,4692,45
Bioacoustic 1,1,4698,23
Bioacoustic 1,1,4704,23
Bioacoustic 1,1,4710,41
Bioacoustic 1,1,4716,60
Bioacoustic 1,1,4722,9
Bioacoustic 1,1,4728,54
Bioacoustic 1,1,4734,52
Bioacoustic 1,1,4740,37
Bioacoustic 1,1,4746,12
Bioacoustic 1,1,4752,42
Bioacoustic 1,1,4758,42
Bioacoustic 1,1,4764,19
Bioacoustic 1,1,4770,50
Bioacoustic 1,1,4776,17
Bioacoustic 1,1,4782,30
Bioacoustic 1,1,4788,27
Bioacoustic 1,1,4794,52
Bioacoustic 1,1,4800,60
Bioacoustic 1,1,4806,12
Bioacoustic 1,1,4812,21
Bioacoustic 1,1,4818,58
Bioacoustic 1,1,4824,23
Bioacoustic 1,1,4830,52
Bioacoustic 1,1,4836,42
Bioacoustic 1,1,4842,59
Bioacoustic 1,1,4848,33
Bioacoustic 1,1,4854,28
Bioacoustic 1,1,4860,10
Bioacoustic 1,1,4866,33
Bioacoustic 1,1,4872,15
Bioacoustic 1,1,4878,45
Bioacoustic 1,1,4884,16
Bioacoustic 1,1,4890,15
Bioacoustic 1,1,4896,8
Bioacoustic 1,1,4902,14
Bioacoustic 1,1,4908,58
Bioacoustic 1,1,4914,22
Bioacoustic 1,1,4920,25
Bioacoustic 1,1,4926,30
Bioacoustic 1,1,4932,34
Bioacoustic 1,1,4938,40
Bioacoustic 1,1,4944,14
Bioacoustic 1,1,4950,12
Bioacoustic 1,1,4956,33
Bioacoustic 1,1,4962,25
Bioacoustic 1,1,4968,39
Bioacoustic 1,1,4974,29
Bioacoustic 1,1,4980,28
