Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Bibionidae;Bibio;Bibio marci;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Mycetophilidae;Tetragoneura;Tetragoneura sylvatica;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Lauxaniidae;Minettia;Minettia fasciata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Orthoptera;Acrididae;Chorthippus;Chorthippus parallelus;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Dolichopodidae;Neurigona;Neurigona quadrifasciata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Sciaridae;Bradysia;Bradysia trivittata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Orthoptera;Acrididae;Chorthippus;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Dolichopodidae;Dolichopus;Dolichopus festivus;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Hemiptera;Cicadellidae;Eupteryx;Eupteryx aurata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Cecidomyiidae;;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Tabanidae;Tabanus;Tabanus bromius;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Sciaridae;Corynoptera;Corynoptera consumpta;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Anthomyiidae;Botanophila;Botanophila fugax;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Hybotidae;Elaphropeza;Elaphropeza ephippiata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Dolichopodidae;Sciapus;Sciapus platypterus;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Orthoptera;Acrididae;Chorthippus;Chorthippus parallelus;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Hemiptera;Cicadellidae;Allygus;Allygus mixtus;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Muscidae;Helina;Helina impuncta;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Lauxaniidae;Sapromyza;Sapromyza obscuripennis;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Bibionidae;Bibio;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Phoridae;Megaselia;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Calliphoridae;Lucilia;Lucilia silvarum;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Bombyliidae;Bombylius;Bombylius major;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Hemiptera;Issidae;Issus;Issus coleoptratus;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Allophyes;Allophyes oxyacanthae;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Muscidae;Coenosia;Coenosia testacea;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Dermaptera;Forficulidae;Chelidura;Chelidura guentheri;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Lauxaniidae;Lyciella;Lyciella platycephala;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Heleomyzidae;Tephrochlamys;Tephrochlamys flavipes;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Sarcophagidae;Sarcophaga;Sarcophaga carnaria;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Tipulidae;Tipula;Tipula paludosa;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Fanniidae;Fannia;Fannia sp.;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Sarcophagidae;Sarcophaga;Sarcophaga variegata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Polleniidae;Pollenia;Pollenia angustigena;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Sciaridae;Ctenosciara;Ctenosciara hyalipennis;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Syrphidae;Sphaerophoria;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Sciaridae;Bradysia;Bradysia confinis;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Orthoptera;Acrididae;Chorthippus;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Lepidoptera;Crambidae;Eudonia;Eudonia lacustrata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Polleniidae;Pollenia;Pollenia griseotomentosa;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Polleniidae;Pollenia;Pollenia vagabunda;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Lepidoptera;Geometridae;Idaea;Idaea aversata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Lepidoptera;Pyralidae;Endotricha;Endotricha flammealis;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Empididae;Dryodromia;Dryodromia testacea;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Mycetophilidae;Leia;Leia subfasciata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Tachinidae;Siphona;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Hemiptera;Cicadellidae;Empoasca;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Hymenoptera;Ichneumonidae;Pimpla;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Lauxaniidae;Calliopum;Calliopum aeneum;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Phoridae;Borophaga;Borophaga incrassata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Phoridae;Megaselia;Megaselia pleuralis;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Lepidoptera;Gelechiidae;Bryotropha;Bryotropha terrella;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Anthomyiidae;Hylemyza;Hylemyza partita;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Scathophagidae;Scathophaga;Scathophaga taeniopa;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Tachinidae;Eriothrix;Eriothrix rufomaculata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Limnophyes;Limnophyes habilis;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Fanniidae;Fannia;Fannia latipalpis;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Anthomyiidae;Lasiomma;Lasiomma seminitidum;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;;;;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Dolichopodidae;Dolichopus;;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Orthoptera;Acrididae;Chorthippus;Chorthippus dorsatus;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Sphaeroceridae;Copromyza;Copromyza stercoraria;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Muscidae;Coenosia;Coenosia albicornis;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Diptera;Muscidae;Hebecnema;Hebecnema nigra;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Mythimna;Mythimna impura;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
xprf/teamname/sensor#/id#;MachineObservation;;2023527T12:30+08:00;Macaca fascicularis;Animalia;Arthropoda;Insecta;Coleoptera;Coccinellidae;Coccinella;Coccinella septempunctata;species;identi app ;0.98;Human;John Smith;ICZN;1;1;individuals;1356600;103820442;WGS84;50;1.3566;103.820442;decimal degrees;Singapore;Asia;Singapore;SG;;;;;;;
